taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree,obs_record1,obs_record2,obs_record3,obs_record4,obs_record5
Abeliophyllum distichum,15.3,3,10.7826,26.7,0.224999,1086.5,123.75,FALSE,GBIF_CURRENT=48,MODEL=,PLANTSEARCH=135,,
Acaena magellanica,15.3,2,6.225,17.6,1.60417,709.75,131,FALSE,GBIF_CURRENT=668,MODEL=,PLANTSEARCH=38,,
Acaena microphylla,15.3,3,8.56389,21.2,2.23333,1235,239.25,FALSE,GBIF_CURRENT=234,MODEL=,PLANTSEARCH=42,,
Acaena myriophylla,15.3,11,13.8708,26.275,6.61667,734.5,87.75,FALSE,GBIF_CURRENT=46,MODEL=,PLANTSEARCH=15,,
Acaena pinnatifida,15.3,5,12.3458,23.15,6.1125,810.5,84,FALSE,GBIF_CURRENT=761,MODEL=,PLANTSEARCH=18,,
Acantholimon caryophyllaceum,15.3,8,10.8236,29.55,-0.891668,667.5,36.5,FALSE,GBIF_CURRENT=5,MODEL=,PLANTSEARCH=3,,
Acantholimon glumaceum,15.3,8,7.26806,23.625,-1.13334,588.75,97.75,FALSE,GBIF_CURRENT=17,MODEL=,PLANTSEARCH=28,,
Acantholimon ulicinum,15.3,3,8.86249,23.975,1.3,777.5,90.5,FALSE,GBIF_CURRENT=33,MODEL=,PLANTSEARCH=19,,
Acanthophyllum cerastioides,15.3,6,8.42083,21.1,2.60833,994.5,139.25,FALSE,GBIF_CURRENT=98,MODEL=,PLANTSEARCH=6,,
Acanthus hungaricus,15.3,5,9.9014,23.3,2.36667,800,154.5,FALSE,GBIF_CURRENT=128,MODEL=,PLANTSEARCH=68,,
Acanthus sennii,15.3,11,13.0945,23.35,9.07917,988.5,108,FALSE,GBIF_CURRENT=41,MODEL=,PLANTSEARCH=21,,
Acer ceriferum,15.3,11,13.9389,27.275,4.66667,1737.75,196.25,FALSE,GBIF_CURRENT=81,MODEL=,PLANTSEARCH=13,,
Achillea barrelieri,15.3,2,6.26389,20.65,0.208334,769,153.25,FALSE,GBIF_CURRENT=58,MODEL=,PLANTSEARCH=2,,
Achillea clavennae,15.3,3,4.90694,19.275,-1.31667,1115.5,206.75,FALSE,GBIF_CURRENT=1821,MODEL=,PLANTSEARCH=32,,
Achillea clypeolata,15.3,6,10.5097,25.9,1.88334,655,120.5,FALSE,GBIF_CURRENT=76,MODEL=,PLANTSEARCH=38,,
Achillea filipendulina,15.3,6,10.2937,24.825,3.09167,697,127.75,FALSE,GBIF_CURRENT=8786,MODEL=,PLANTSEARCH=74,,
Achillea millefolium,15.3,9,10.275,25.05,3.25833,801,132,FALSE,GBIF_CURRENT=8613,MODEL=,PLANTSEARCH=247,,
Achillea ptarmica,15.3,6,8.36528,22.7,1.53334,770.5,143.5,FALSE,GBIF_CURRENT=6839,MODEL=,PLANTSEARCH=94,,
Achlys triphylla,15.3,2,9.69307,23.05,3.24167,1231,129.5,FALSE,GBIF_CURRENT=5881,MODEL=,PLANTSEARCH=22,,
Aciphylla aurea,15.3,2,8.32778,20.925,3.06667,1247.75,225.5,FALSE,GBIF_CURRENT=1553,MODEL=,PLANTSEARCH=25,,
Aciphylla scott-thomsonii,15.3,3,7.88196,19.4,3.20833,1540,263,FALSE,GBIF_CURRENT=394,MODEL=,PLANTSEARCH=10,,
Acis autumnalis,15.3,11,14.1076,26.6,7.23333,720,96.25,FALSE,GBIF_CURRENT=1319,MODEL=,PLANTSEARCH=38,,
Acmella oleracea,15.3,6,20.6062,28.625,14.05,1176,126.5,FALSE,GBIF_CURRENT=285,MODEL=,PLANTSEARCH=24,,
Aconitum anthora,15.3,2,6.59028,21.75,-0.633334,935,183,FALSE,GBIF_CURRENT=3669,MODEL=,PLANTSEARCH=39,,
Aconitum carmichaelii,15.3,11,13.3542,27.625,3.34167,968.5,119,FALSE,GBIF_CURRENT=312,MODEL=,PLANTSEARCH=68,,
Aconitum fischeri,15.3,5,2.65833,21.5,-8.25,788.25,121.5,FALSE,GBIF_CURRENT=392,MODEL=,PLANTSEARCH=23,,
Aconitum jaluense,15.3,2,8.64375,25.3,-3.325,1190.5,105,FALSE,GBIF_CURRENT=869,MODEL=,PLANTSEARCH=10,,
Aconitum japonicum,15.3,8,10.2521,26.1,0.195833,1257.25,166.5,FALSE,GBIF_CURRENT=1153,MODEL=,PLANTSEARCH=23,,
Aconitum napellus,15.3,3,6.61528,21.35,0.116667,1021,192.5,FALSE,GBIF_CURRENT=8191,MODEL=,PLANTSEARCH=115,,
Aconitum sinomontanum,15.3,11,11.3111,27.5,0.725,870,84.75,FALSE,GBIF_CURRENT=215,MODEL=,PLANTSEARCH=10,,
Acorus calamus,15.3,6,9.32847,24.025,1.575,806.75,144,FALSE,GBIF_CURRENT=7279,MODEL=,PLANTSEARCH=158,,
Acrothamnus colensoi,15.3,2,8.23194,21.7,1.825,1358,245.5,FALSE,GBIF_CURRENT=1016,MODEL=,PLANTSEARCH=3,,
Actaea asiatica,15.3,5,8.67083,24.35,-1.05,1102.5,125.5,FALSE,GBIF_CURRENT=1002,MODEL=,PLANTSEARCH=36,,
Actaea cimicifuga,15.3,5,3.13125,23.15,-7.92917,626.25,84,FALSE,GBIF_CURRENT=1141,MODEL=,PLANTSEARCH=11,,
Actaea elata,15.3,2,10.9694,26.575,3.51667,1183.75,144.75,FALSE,GBIF_CURRENT=180,MODEL=,PLANTSEARCH=4,,
Actaea japonica,15.3,8,11.4472,27.2,1.21667,1308.25,155.5,FALSE,GBIF_CURRENT=846,MODEL=,PLANTSEARCH=19,,
Actaea pachypoda,15.3,5,8.29722,26.05,-2.125,970,183,FALSE,GBIF_CURRENT=9761,MODEL=,PLANTSEARCH=92,,
Actaea podocarpa,15.3,2,9.66807,27.35,-0.941667,1118,239.5,FALSE,GBIF_CURRENT=164,MODEL=,PLANTSEARCH=15,,
Actaea racemosa,15.3,5,10.5,28,-0.4,1034.5,206,FALSE,GBIF_CURRENT=4338,MODEL=,PLANTSEARCH=82,,
Actaea rubra,15.3,3,6.68194,24.575,-3.025,834,132.5,FALSE,GBIF_CURRENT=9759,MODEL=,PLANTSEARCH=102,,
Actaea simplex,15.3,5,7.87362,23.85,-1.89167,1044,151.75,FALSE,GBIF_CURRENT=1891,MODEL=,PLANTSEARCH=30,,
Actinidia arguta,15.3,5,10.2556,25.85,0.191667,1073.5,131.5,FALSE,GBIF_CURRENT=2878,MODEL=,PLANTSEARCH=118,,
Actinidia callosa,15.3,11,14.5958,26.5,5.51667,1125.25,120.5,FALSE,GBIF_CURRENT=790,MODEL=,PLANTSEARCH=24,,
Actinidia chinensis,15.3,11,11.816,24.575,4.16667,1073.75,154,FALSE,GBIF_CURRENT=1486,MODEL=,PLANTSEARCH=80,,
Actinidia hemsleyana,15.3,8,16.3389,31.025,4.74583,1238.5,162.25,FALSE,GBIF_CURRENT=54,MODEL=,PLANTSEARCH=5,,
Actinidia kolomikta,15.3,5,7.34722,24,-2.13333,971.75,126.5,FALSE,GBIF_CURRENT=1381,MODEL=,PLANTSEARCH=125,,
Actinidia melanandra,15.3,11,13.6507,27,3.4375,960,105.25,FALSE,GBIF_CURRENT=155,MODEL=,PLANTSEARCH=33,,
Actinidia polygama,15.3,5,10.125,25.875,0.145833,1095.5,139.5,FALSE,GBIF_CURRENT=1975,MODEL=,PLANTSEARCH=61,,
Actinidia rufa,15.3,8,15.3222,27.55,7.54167,1728.5,254.5,FALSE,GBIF_CURRENT=408,MODEL=,PLANTSEARCH=11,,
Adenocaulon bicolor,15.3,2,10.9944,25.025,4,955.5,94.75,FALSE,GBIF_CURRENT=5376,MODEL=,PLANTSEARCH=11,,
Adiantum aleuticum,15.3,3,9.83194,23.2,3.925,1241.75,143,FALSE,GBIF_CURRENT=9042,MODEL=,PLANTSEARCH=40,,
Adiantum capillus-veneris,15.3,11,15.0111,28.85,7.27083,813.75,117,FALSE,GBIF_CURRENT=9282,MODEL=,PLANTSEARCH=129,,
Adiantum pedatum,15.3,6,8.93333,27.3,-1.63333,1006.5,188,FALSE,GBIF_CURRENT=9653,MODEL=,PLANTSEARCH=149,,
Adiantum shastense,15.3,11,14.6326,30.1,8.06667,1120,24.5,FALSE,GBIF_CURRENT=157,MODEL=,PLANTSEARCH=3,,
Adiantum venustum,15.3,11,9.74583,23.225,2.08333,763.5,87.25,FALSE,GBIF_CURRENT=227,MODEL=,PLANTSEARCH=76,,
Aethionema grandiflorum,15.3,5,9.54167,26.25,-0.391667,656.5,90,FALSE,GBIF_CURRENT=64,MODEL=,PLANTSEARCH=59,,
Aethionema saxatile,15.3,6,10.5222,25.65,2.71667,760.75,134,FALSE,GBIF_CURRENT=3808,MODEL=,PLANTSEARCH=52,,
