Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Aria alnifolia,14.2833,0,10.3958,25.45,0.825,1050.5,127.5,False,2,,,
Berberis duclouxiana,14.2833,0,10.5458,24.5,3.33333,710.0,146.0,False,2,,,
Cotoneaster hedegaardii,14.2833,0,10.1375,22.05,4.20833,811.5,161.0,False,2,,,
Saxifraga exarata,14.2833,0,9.37917,23.7,1.15,812.0,155.0,False,32,,,
Sorbus splendens,14.2833,0,9.75417,21.2,4.4,697.0,144.0,False,7,,,
Symphyotrichum ciliolatum,14.2833,0,9.19375,22.9,2.75834,623.5,125.0,False,7,,,
Rhamnus alpina,14.2833,0,8.99583,23.2,2.3,743.0,147.0,True,2,,,
Acaena magellanica,14.2833,2,6.225,17.6,1.60417,709.75,131.0,False,38,,668,
Achillea barrelieri,14.2833,2,6.26389,20.65,0.208334,769.0,153.25,False,2,,58,
Aconitum anthora,14.2833,2,6.59028,21.75,-0.633334,935.0,183.0,False,39,,3669,
Acrothamnus colensoi,14.2833,2,8.23194,21.7,1.825,1358.0,245.5,False,3,,116,
Alchemilla lithophila,14.2833,2,5.3875,19.2,-3.28333,847.0,169.0,False,1,,1,
Alchemilla sericea,14.2833,2,3.18056,19.0,-4.2875,915.0,166.5,False,13,,149,
Allium hollandicum,14.2833,2,8.07083,22.075,1.725,674.25,131.0,False,11,,96,
Alyssum lenense,14.2833,2,3.63611,24.95,-6.75833,533.5,87.0,False,14,,124,
Amelanchier humilis,14.2833,2,6.46667,22.9,-3.675,730.0,120.5,False,21,,8617,
Anchusa leptophylla,14.2833,2,10.0903,26.275,-0.5125,686.0,139.25,False,2,,123,
Androsace vitaliana,14.2833,2,4.45,20.15,-2.07917,1120.75,205.5,False,14,,2521,
Antennaria chilensis,14.2833,2,6.74097,20.175,0.591667,621.25,114.5,False,11,,4,
Aquilegia brevistyla,14.2833,2,3.86111,21.575,-4.81667,594.25,95.75,False,3,,672,
Aristolochia guichardii,14.2833,2,17.0625,29.1,10.5,773.0,12.5,False,1,,31,
Armeria alpina,14.2833,2,4.15417,19.475,-1.9875,1117.5,207.75,False,44,,32,
Arnica unalaschcensis,14.2833,2,3.90763,20.3,-4.2625,1064.5,187.25,False,2,,117,
Athrixia fontana,14.2833,2,8.47847,20.675,2.23333,883.0,107.5,False,6,,12,
Atocion rupestre,14.2833,2,5.45417,20.425,-2.78333,960.0,176.25,False,8,,731,
Beesia deltophylla,14.2833,2,14.7431,28.625,4.49583,1315.0,112.0,False,1,,3,
Betula michauxii,14.2833,2,4.20418,21.65,-4.85,962.5,176.5,False,14,,161,
Brachyglottis bellidioides,14.2833,2,7.91388,18.9,3.67917,1711.5,323.5,False,5,,834,
Brachyglottis lagopus,14.2833,2,8.80834,20.25,5.04167,1393.5,265.0,False,4,,2565,
Callianthemum coriandrifolium,14.2833,2,3.29305,18.35,-2.49167,1090.5,199.5,False,25,,63,
Campanula sarmatica,14.2833,2,6.83472,22.3,-1.67083,759.5,121.5,False,52,,143,
Campanula saxifraga,14.2833,2,4.96667,20.7,-2.9375,865.75,160.25,False,23,,414,
Campanula tridentata,14.2833,2,3.7875,19.8,-3.55417,972.5,172.5,False,17,,397,
Canadanthus modestus,14.2833,2,5.88472,22.45,-1.69166,674.0,109.0,False,5,,889,
Capnoides sempervirens,14.2833,2,6.98542,24.3,-3.36667,905.25,179.5,False,18,,6222,
Cardamine angulata,14.2833,2,10.2875,22.1,4.9,2016.0,144.5,False,1,,4,
Carex montana,14.2833,2,7.54722,22.45,0.395834,792.25,157.25,False,4,,4584,
Carex oederi,14.2833,2,7.66806,21.2,0.674998,755.5,142.0,False,1,,5127,
Carlina acanthifolia,14.2833,2,8.475,23.1,1.30834,908.5,171.5,False,33,,6379,
Celmisia sessiliflora,14.2833,2,6.8,18.9,1.975,1996.0,368.25,False,6,,166,
Centaurea nervosa,14.2833,2,4.99861,19.65,-1.89167,1128.5,219.5,False,13,,257,
Chamaemespilus alpina,14.2833,2,6.31736,20.425,0.624999,1106.25,217.75,False,6,,3687,
Chosenia arbutifolia,14.2833,2,-1.82639,22.25,-15.7333,585.5,53.25,False,13,,831,
Clematis koreana,14.2833,2,7.33403,23.175,-2.525,1040.25,114.5,False,3,,186,
Clinopodium alpinum,14.2833,2,6.43889,20.5,0.958335,975.0,188.5,False,9,,5686,
Colchicum laetum,14.2833,2,8.6118,26.15,-0.616667,531.5,97.25,False,15,,153,
Convolvulus assyricus,14.2833,2,9.5764,29.725,-0.195834,421.0,38.0,False,2,,11,
Coprosma depressa,14.2833,2,8.42501,19.65,3.70833,1821.5,334.0,False,6,,171,
Corydalis buschii,14.2833,2,5.89722,23.6,-6.93334,758.5,73.5,False,1,,8,
