AccNoFull,ItemAccNoFull,GenusSpecies,Genus,ItemLocationCode,LocationName,ManagedBy,LocationCoordY,LocationCoordX,LifeForm,ProvenanceCode,LocationCoordLatDD,LocationCoordLongDD,LocComment,ItemType,IUCNRedList,NationalRedList,RegionalRedList,Locality,LocalityFull,TaxonName,TaxonNameFull,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,Family
1960-0001,1960-0001.01,Clematis terniflora,Clematis,5,Nitobe Memorial Garden,Ryo Sugiyama,-123.259641,49.26616,Climber_Liana_Vine,G,49.26616,-123.259641,,Planting,,,,,,Clematis terniflora,Clematis terniflora DC.,9,11,11,11,Ranunculaceae
1960-0002,1960-0002.01,Houttuynia cordata,Houttuynia,5,Nitobe Memorial Garden,Ryo Sugiyama,-123.259641,49.26616,Herbaceous Perennial,U,49.26616,-123.259641,,Planting,,,,,,Houttuynia cordata,Houttuynia cordata Thunb.,11,11,11,11,Saururaceae
1976-0260,1976-0260.01,Petasites frigidus,Petasites,5,Nitobe Memorial Garden,Ryo Sugiyama,-123.259641,49.26616,Herbaceous Perennial,W,49.26616,-123.259641,Original locality is batch imported on 2019 Aug 16;,Planting,,,Yellow-listed British Columbia,In Nitobe Gard.,"CAN: British Columbia, In Nitobe Gard.",Petasites frigidus var. palmatus,Petasites frigidus (L.) Fries var. palmatus (Aiton) Cronquist,11,9,5,2,Asteraceae
2007-0432,2007-0432.01,Prunus mume,Prunus,5,Nitobe Memorial Garden,Ryo Sugiyama,-123.259641,49.26616,Tree,G,49.26616,-123.259641,,Planting,,,,,,Prunus mume,Prunus mume Siebold & Zucc.,6,9,11,11,Rosaceae
2007-0433,2007-0433.01,Prunus mume,Prunus,5,Nitobe Memorial Garden,Ryo Sugiyama,-123.259641,49.26616,Tree,G,49.26616,-123.259641,,Planting,,,,,,Prunus mume,Prunus mume Siebold & Zucc.,6,9,11,11,Rosaceae
1982-0911,1982-0911.01,Rhododendron,Rhododendron,5,Nitobe Memorial Garden,Ryo Sugiyama,-123.259641,49.26616,Shrub,G,49.26616,-123.259641,,Planting,,,,,,Rhododendron 'Hino-crimson',Rhododendron 'Hino-crimson',,,,,Ericaceae
1974-0412,1974-0412.03,Rhododendron indicum,Rhododendron,5,Nitobe Memorial Garden,Ryo Sugiyama,-123.259641,49.26616,Shrub,G,49.26616,-123.259641,,Planting,,,,,,Rhododendron indicum 'Gyoten',Rhododendron indicum (L.) Sweet 'Gyoten',9,9,9,11,Ericaceae
1974-0412,1974-0412.03,Rhododendron indicum,Rhododendron,5,Nitobe Memorial Garden,Ryo Sugiyama,-123.259641,49.26616,Shrub,G,49.26616,-123.259641,,Planting,,,,,,Rhododendron indicum 'Gyoten',Rhododendron indicum (L.) Sweet 'Gyoten',9,9,9,11,Ericaceae
1974-0414,1974-0414.02,Rhododendron indicum,Rhododendron,5,Nitobe Memorial Garden,Ryo Sugiyama,-123.259641,49.26616,Shrub,G,49.26616,-123.259641,,Planting,,,,,,Rhododendron indicum 'Kinu-no-hikari',Rhododendron indicum (L.) Sweet 'Kinu-no-hikari',9,9,9,11,Ericaceae
1974-0414,1974-0414.02,Rhododendron indicum,Rhododendron,5,Nitobe Memorial Garden,Ryo Sugiyama,-123.259641,49.26616,Shrub,G,49.26616,-123.259641,,Planting,,,,,,Rhododendron indicum 'Kinu-no-hikari',Rhododendron indicum (L.) Sweet 'Kinu-no-hikari',9,9,9,11,Ericaceae
