AccNoFull,ItemAccNoFull,Family,Genus,GenusSpecies,TaxonName,ItemLocationCode,LocationName,LocationCoordLatDD,LocationCoordLongDD,ManagedBy,ItemType,ProvenanceCode,IUCNRedList,NationalRedList,RegionalRedList,ClimateRating_current,ClimateRating_emissions-limited_2050,ClimateRating_business-as-usual_2090,ClimateRating_bau-plus-1-degree_2090,LocalityFull,LifeForm,LocComment,TaxonNameFull,LocationCoordX,LocationCoordY,Locality
1960-0001,1960-0001.01,Ranunculaceae,Clematis,Clematis terniflora,Clematis terniflora,5,Nitobe Memorial Garden,49.26616,-123.259641,Ryo Sugiyama,Planting,G,,,,9.0,11.0,11.0,11.0,,Climber_Liana_Vine,,Clematis terniflora DC.,49.26616,-123.259641,
1960-0002,1960-0002.01,Saururaceae,Houttuynia,Houttuynia cordata,Houttuynia cordata,5,Nitobe Memorial Garden,49.26616,-123.259641,Ryo Sugiyama,Planting,U,,,,11.0,11.0,11.0,11.0,,Herbaceous Perennial,,Houttuynia cordata Thunb.,49.26616,-123.259641,
1976-0260,1976-0260.01,Asteraceae,Petasites,Petasites frigidus,Petasites frigidus var. palmatus,5,Nitobe Memorial Garden,49.26616,-123.259641,Ryo Sugiyama,Planting,W,,,Yellow-listed British Columbia,11.0,9.0,5.0,2.0,"CAN: British Columbia, In Nitobe Gard.",Herbaceous Perennial,Original locality is batch imported on 2019 Aug 16;,Petasites frigidus (L.) Fries var. palmatus (Aiton) Cronquist,49.26616,-123.259641,In Nitobe Gard.
2007-0432,2007-0432.01,Rosaceae,Prunus,Prunus mume,Prunus mume,5,Nitobe Memorial Garden,49.26616,-123.259641,Ryo Sugiyama,Planting,G,,,,6.0,9.0,11.0,11.0,,Tree,,Prunus mume Siebold & Zucc.,49.26616,-123.259641,
2007-0433,2007-0433.01,Rosaceae,Prunus,Prunus mume,Prunus mume,5,Nitobe Memorial Garden,49.26616,-123.259641,Ryo Sugiyama,Planting,G,,,,6.0,9.0,11.0,11.0,,Tree,,Prunus mume Siebold & Zucc.,49.26616,-123.259641,
1982-0911,1982-0911.01,Ericaceae,Rhododendron,Rhododendron,Rhododendron 'Hino-crimson',5,Nitobe Memorial Garden,49.26616,-123.259641,Ryo Sugiyama,Planting,G,,,,,,,,,Shrub,,Rhododendron 'Hino-crimson',49.26616,-123.259641,
1974-0412,1974-0412.03,Ericaceae,Rhododendron,Rhododendron indicum,Rhododendron indicum 'Gyoten',5,Nitobe Memorial Garden,49.26616,-123.259641,Ryo Sugiyama,Planting,G,,,,9.0,9.0,9.0,11.0,,Shrub,,Rhododendron indicum (L.) Sweet 'Gyoten',49.26616,-123.259641,
1974-0412,1974-0412.03,Ericaceae,Rhododendron,Rhododendron indicum,Rhododendron indicum 'Gyoten',5,Nitobe Memorial Garden,49.26616,-123.259641,Ryo Sugiyama,Planting,G,,,,9.0,9.0,9.0,11.0,,Shrub,,Rhododendron indicum (L.) Sweet 'Gyoten',49.26616,-123.259641,
1974-0414,1974-0414.02,Ericaceae,Rhododendron,Rhododendron indicum,Rhododendron indicum 'Kinu-no-hikari',5,Nitobe Memorial Garden,49.26616,-123.259641,Ryo Sugiyama,Planting,G,,,,9.0,9.0,9.0,11.0,,Shrub,,Rhododendron indicum (L.) Sweet 'Kinu-no-hikari',49.26616,-123.259641,
1974-0414,1974-0414.02,Ericaceae,Rhododendron,Rhododendron indicum,Rhododendron indicum 'Kinu-no-hikari',5,Nitobe Memorial Garden,49.26616,-123.259641,Ryo Sugiyama,Planting,G,,,,9.0,9.0,9.0,11.0,,Shrub,,Rhododendron indicum (L.) Sweet 'Kinu-no-hikari',49.26616,-123.259641,
