Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Berberis duclouxiana,9.98333,0,10.5458,24.5,3.33333,710.0,146.0,False,2,,,
Styrax calvescens,9.98333,0,14.85,24.6,5.31667,948.0,95.0,False,4,,,
Alchemilla lithophila,9.98333,2,5.3875,19.2,-3.28333,847.0,169.0,False,1,,1,
Alloberberis nevinii,9.98333,2,16.5514,31.25,10.1,561.0,58.5,False,1,,251,
Arctostaphylos hookeri,9.98333,2,14.1854,25.825,10.0583,565.0,9.0,False,4,,441,
Arctostaphylos insularis,9.98333,2,15.0792,25.25,11.9542,544.75,6.25,False,12,,228,
Arctostaphylos purissima,9.98333,2,14.3465,25.2,10.825,634.75,7.0,False,8,,247,
Aria globosa,9.98333,2,16.6542,29.8,8.71667,1172.0,62.0,False,,,1,
Aristolochia guichardii,9.98333,2,17.0625,29.1,10.5,773.0,12.5,False,1,,31,
Asphodelus ayardii,9.98333,2,14.1639,28.95,5.95,621.5,113.0,False,1,,1239,
Beschorneria rigida,9.98333,2,16.057,28.15,11.9917,635.0,39.75,False,7,,51,
Camassia howellii,9.98333,2,12.4542,30.5,3.88333,1069.0,140.5,False,4,,11,
Daphniphyllum oldhamii,9.98333,2,18.3639,30.075,9.95833,1976.75,147.0,False,7,,1793,
Draba araratica,9.98333,2,0.152779,16.85,-6.41667,373.5,66.5,False,3,,7,
Draba subcapitata,9.98333,2,2.87222,12.75,-4.225,244.0,29.0,False,2,,3,
Endotropis alnifolia,9.98333,2,6.35694,25.225,-6.10417,929.5,179.75,False,1,,7,
Epimedium pseudowushanense,9.98333,2,12.7236,24.7,4.43333,985.5,115.0,False,1,,1,
Erigeron miyabeanus,9.98333,2,3.425,19.35,-8.3,909.0,146.0,False,1,,7,
Fargesia apicirubens,9.98333,2,13.8667,31.7,2.66667,1073.0,233.0,False,2,,1,
Heptapleurum fengii,9.98333,2,17.4271,26.3,11.3917,1369.0,49.0,False,,,17,
Heptapleurum gracile,9.98333,2,22.5778,31.425,15.55,2351.25,446.75,False,1,,3,
Heteropterys glabra,9.98333,2,18.6993,31.375,11.7917,1153.0,157.5,False,15,,227,
Hydrangea ampla,9.98333,2,16.2646,31.725,5.45,1297.0,175.75,False,4,,6,
Khadia alticola,9.98333,2,13.1271,24.725,7.77499,753.5,48.75,False,3,,38,
Lindera salicifolia,9.98333,2,14.0514,30.575,3.74166,1048.25,201.5,False,5,,4,
Micranthes nelsoniana,9.98333,2,-4.28333,17.1,-18.45,523.0,60.0,False,,,46,
Parnassia fimbriata,9.98333,2,2.84375,20.075,-5.62917,741.75,130.0,False,3,,2527,
Phacelia argentea,9.98333,2,12.6083,23.5,8.95,1370.0,46.0,False,5,,11,
Phlox nivalis,9.98333,2,15.6722,32.1,5.74167,1178.0,254.0,False,7,,477,
Polygonum graminifolium,9.98333,2,11.7417,27.3,2.0,655.0,126.0,False,,,1,
Potentilla villosula,9.98333,2,-1.41875,15.3,-10.2583,775.0,115.5,False,,,244,
Primula fangii,9.98333,2,10.6917,23.8,4.59166,782.5,27.0,False,2,,4,
Raoulia hectorii,9.98333,2,4.49583,16.3,-0.866667,2611.0,474.0,False,1,,256,
Rhododendron brachypodum,9.98333,2,16.6542,31.4,7.0,1172.0,64.0,False,,,1,
Rhododendron tephropeploides,9.98333,2,10.9694,19.6,5.19167,1308.5,90.0,False,1,,1,
Rubus alaskensis,9.98333,2,0.760417,17.65,-9.63333,739.0,103.0,False,,,6,
Saxifragopsis fragarioides,9.98333,2,8.98333,25.725,2.70417,1309.75,119.25,False,5,,83,
Schisandra perulata,9.98333,2,22.4833,32.8,19.3167,1001.0,21.0,False,1,,2,
Silene wahlbergella,9.98333,2,0.810417,18.075,-6.12917,666.25,71.25,False,6,,2719,
Stenanthium diffusum,9.98333,2,12.3306,29.3,1.39167,1284.5,281.5,False,1,,13,
Stomatium beaufortense,9.98333,2,14.4819,30.5,7.69166,367.5,39.0,False,3,,1,
Synthyris wyomingensis,9.98333,2,5.72084,27.9,-2.875,462.0,62.5,False,2,,846,
