Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,obs_record1,obs_record2,obs_record3,obs_record4,obs_record5
Berberis duclouxiana,9.98333,0,10.5458,24.5,3.33333,710,146,FALSE,PLANTSEARCH=2,,,,
Styrax calvescens,9.98333,0,14.85,24.6,5.31667,948,95,FALSE,PLANTSEARCH=4,,,,
Alchemilla lithophila,9.98333,2,5.3875,19.2,-3.28333,847,169,FALSE,GBIF_CURRENT=1,,PLANTSEARCH=1,,
Alloberberis nevinii,9.98333,2,16.5514,31.25,10.1,561,58.5,FALSE,GBIF_CURRENT=251,,PLANTSEARCH=1,,
Arctostaphylos hookeri,9.98333,2,14.1854,25.825,10.0583,565,9,FALSE,GBIF_CURRENT=441,,PLANTSEARCH=4,,
Arctostaphylos insularis,9.98333,2,15.0792,25.25,11.9542,544.75,6.25,FALSE,GBIF_CURRENT=228,,PLANTSEARCH=12,,
Arctostaphylos purissima,9.98333,2,14.3465,25.2,10.825,634.75,7,FALSE,GBIF_CURRENT=247,,PLANTSEARCH=8,,
Aria globosa,9.98333,2,16.6542,29.8,8.71667,1172,62,FALSE,GBIF_CURRENT=1,,,,
Aristolochia guichardii,9.98333,2,17.0625,29.1,10.5,773,12.5,FALSE,GBIF_CURRENT=31,,PLANTSEARCH=1,,
Asphodelus ayardii,9.98333,2,14.1639,28.95,5.95,621.5,113,FALSE,GBIF_CURRENT=1239,,PLANTSEARCH=1,,
Beschorneria rigida,9.98333,2,16.057,28.15,11.9917,635,39.75,FALSE,GBIF_CURRENT=51,,PLANTSEARCH=7,,
Camassia howellii,9.98333,2,12.4542,30.5,3.88333,1069,140.5,FALSE,GBIF_CURRENT=11,,PLANTSEARCH=4,,
Daphniphyllum oldhamii,9.98333,2,18.3639,30.075,9.95833,1976.75,147,FALSE,GBIF_CURRENT=1793,,PLANTSEARCH=7,,
Draba araratica,9.98333,2,0.152779,16.85,-6.41667,373.5,66.5,FALSE,GBIF_CURRENT=7,,PLANTSEARCH=3,,
Draba subcapitata,9.98333,2,2.87222,12.75,-4.225,244,29,FALSE,GBIF_CURRENT=3,,PLANTSEARCH=2,,
Endotropis alnifolia,9.98333,2,6.35694,25.225,-6.10417,929.5,179.75,FALSE,GBIF_CURRENT=7,,PLANTSEARCH=1,,
Epimedium pseudowushanense,9.98333,2,12.7236,24.7,4.43333,985.5,115,FALSE,GBIF_CURRENT=1,,PLANTSEARCH=1,,
Erigeron miyabeanus,9.98333,2,3.425,19.35,-8.3,909,146,FALSE,GBIF_CURRENT=7,,PLANTSEARCH=1,,
Fargesia apicirubens,9.98333,2,13.8667,31.7,2.66667,1073,233,FALSE,GBIF_CURRENT=1,PLANTSEARCH=2,,,
