Taxon,temperature,climate_rating,mean_annual_ temp_celcius,mean_hottest_month_celcius,mean_coldest_quarter_celsius,mean_annual_precipitation mm/year,mean_driest_quarter mm/qtr,tree_on_CAT,PLANTSEARCH,URBANPLANTS,GBIF_CURRENT,GBIF_BGCI
Abeliophyllum distichum,11.9917,9,10.7826,26.7,0.224999,1086.5,123.75,False,135,,48,
Abies amabilis,11.9917,6,7.59901,21.8465,1.80217,1341.12,154.0,True,,,2256,185
Abies balsamea,11.9917,6,6.74598,25.512,-4.81167,964.0,187.75,True,,,9784,2348
Abies bracteata,11.9917,11,11.4807,24.9167,6.58334,858.833,52.8333,True,,,228,172
Abies chensiensis,11.9917,11,11.8646,23.3333,4.30833,853.167,81.5,True,,,69,110
Abies concolor,11.9917,8,9.05765,26.5545,0.372417,790.0,101.75,True,,,8129,1556
Abies delavayi,11.9917,11,12.2654,22.709,6.02808,866.875,98.75,True,,,143,166
Abies densa,11.9917,8,6.60365,17.8167,1.15556,887.167,68.6667,True,,,57,23
Abies fabri,11.9917,11,13.8419,26.491,5.74333,1007.0,80.25,True,,,67,104
Abies forrestii,11.9917,11,9.97628,22.0715,3.98225,782.625,88.75,True,,,199,447
Abies fraseri,11.9917,8,8.86595,24.2045,-0.27831,1374.88,295.0,True,,,873,126
Abies grandis,11.9917,11,10.1979,22.8011,3.919,920.375,118.25,True,,,8033,487
Abies holophylla,11.9917,8,7.81806,24.988,-4.70867,985.5,76.25,True,,,463,17
Abies homolepis,11.9917,11,9.65476,26.228,0.0305838,1150.5,131.25,True,,,575,227
Abies kawakamii,11.9917,8,8.29375,17.5,3.2,2994.67,243.0,True,,,467,191
Abies koreana,11.9917,6,8.45528,24.6745,-1.27808,1172.38,154.5,True,,,388,24
Abies lasiocarpa,11.9917,6,5.58528,22.7716,-2.20452,869.875,125.0,True,,,1080,591
Abies pinsapo,11.9917,11,12.3512,26.432,5.963,783.75,74.125,True,,,6952,676
Abies procera,11.9917,6,8.60687,22.2058,3.16408,1094.0,139.5,True,,,1341,145
Abies squamata,11.9917,8,7.92396,20.9167,0.719445,704.833,60.3333,True,,,72,92
Acaena magellanica,11.9917,5,6.225,17.6,1.60417,709.75,131.0,False,38,,668,
Acaena microphylla,11.9917,6,8.56389,21.2,2.23333,1235.0,239.25,False,42,,234,
Acaena myriophylla,11.9917,6,13.8708,26.275,6.61667,734.5,87.75,False,15,,46,
Acaena pinnatifida,11.9917,11,12.3458,23.15,6.1125,810.5,84.0,False,18,,761,
Acantholimon caryophyllaceum,11.9917,11,10.8236,29.55,-0.891668,667.5,36.5,False,3,,5,
Acantholimon glumaceum,11.9917,8,7.26806,23.625,-1.13334,588.75,97.75,False,28,,17,
Acantholimon ulicinum,11.9917,6,8.86249,23.975,1.3,777.5,90.5,False,19,,33,
Acanthophyllum cerastioides,11.9917,9,8.42083,21.1,2.60833,994.5,139.25,False,6,,98,
Acanthus hungaricus,11.9917,8,9.9014,23.3,2.36667,800.0,154.5,False,68,,128,
Acanthus sennii,11.9917,9,13.0945,23.35,9.07917,988.5,108.0,False,21,,41,
Acer acuminatum,11.9917,11,11.188,24.4667,3.37778,983.0,134.333,True,,,11,12
Acer amoenum,11.9917,9,9.75417,21.2,4.41667,812.0,155.0,True,7,,,
Acer buergerianum,11.9917,9,15.4624,29.265,7.083,1444.62,162.875,True,,,259,632
Acer caesium,11.9917,11,11.0552,23.4667,3.07222,830.0,78.3333,True,,,68,149
Acer campbellii,11.9917,11,14.0281,27.0087,4.94033,1033.0,110.833,True,,3,249,
Acer capillipes,11.9917,11,11.0632,24.9956,3.04439,1383.5,150.125,True,,,222,140
Acer cappadocicum,11.9917,11,11.3639,23.7785,4.2955,830.125,120.5,True,,,422,283
Acer carpinifolium,11.9917,11,11.861,26.4876,2.79314,1384.0,167.75,True,,,754,554
Acer caudatum,11.9917,11,8.62295,22.9747,-0.140223,1022.5,103.667,True,,,568,378
Acer ceriferum,11.9917,9,13.9389,27.275,4.66667,1737.75,196.25,False,13,,81,
Acer chienii,11.9917,11,12.366,23.75,5.0,1118.5,94.5,True,3,,20,
Acer circinatum,11.9917,8,10.4678,24.0461,4.67066,1224.75,107.75,True,,,3153,3115
Acer cissifolium,11.9917,11,10.0871,25.0011,1.56629,1426.5,203.875,True,,,60,13
Acer cordatum,11.9917,9,16.7358,31.572,6.22283,1432.75,159.625,True,,,110,132
Acer crataegifolium,11.9917,11,12.1765,26.926,3.10433,1362.67,166.833,True,,,1116,757
Acer davidii,11.9917,11,14.162,27.665,5.30233,1090.38,101.5,True,,,565,1319
Acer distylum,11.9917,11,10.2297,25.4247,0.824444,1358.83,182.5,True,,,318,212
Acer elegantulum,11.9917,11,14.7239,27.3425,5.346,1195.38,123.25,True,,,11,174
Acer erianthum,11.9917,8,14.3121,27.704,4.39384,1052.75,78.5,True,,,33,150
Acer fabri,11.9917,9,16.9428,30.865,7.46092,1325.75,140.875,True,,,181,428
Acer flabellatum,11.9917,9,11.8208,24.4,5.35,832.0,144.0,True,13,,,
Acer forrestii,11.9917,11,12.4681,23.375,5.36667,877.75,104.25,True,18,,39,
Acer glabrum,11.9917,6,7.58689,25.6305,-0.153629,741.625,98.0,True,,,4144,4980
Acer granatense,11.9917,11,11.7203,28.0913,4.84422,570.833,83.5,True,,,1911,1758
Acer grandidentatum,11.9917,11,9.99821,29.5853,1.087,604.167,92.5,True,,,747,422
Acer griseum,11.9917,11,12.2643,28.947,1.538,1033.5,165.0,True,,,420,59
Acer henryi,11.9917,9,14.7421,29.9445,4.486,1144.12,124.375,True,,,100,115
Acer japonicum,11.9917,9,10.293,25.545,1.71825,1230.88,177.875,True,,,1155,615
Acer kawakamii,11.9917,11,12.9254,22.268,7.13433,1883.0,185.0,True,13,,206,
Acer komarovii,11.9917,6,6.99578,23.29,-4.67533,1076.0,96.5,True,11,,105,
Acer laxiflorum,11.9917,11,13.0424,25.375,4.96667,893.75,84.25,True,22,,48,
Acer longipes,11.9917,11,13.8111,29.064,4.48522,1175.33,124.333,True,,1,29,
Acer macrophyllum,11.9917,11,11.8657,26.078,6.01516,953.0,90.75,True,,,6631,5137
Acer mandshuricum,11.9917,6,5.14167,24.2187,-7.97312,761.333,71.1667,True,,,121,32
Acer maximowiczianum,11.9917,11,10.7322,26.4047,0.976332,1378.83,165.167,True,,,121,59
Acer maximowiczii,11.9917,11,10.9111,25.525,2.8125,924.5,90.0,True,17,,60,
Acer metcalfii,11.9917,9,16.4667,27.2,7.78749,1176.75,135.75,True,8,,15,
Acer micranthum,11.9917,8,9.84439,24.752,0.756333,1451.0,194.667,True,,,659,468
Acer miyabei,11.9917,9,9.10639,26.3735,-1.14289,1103.5,155.25,True,,,82,6
Acer monspessulanum,11.9917,11,11.8954,26.083,5.27342,787.625,141.875,True,,,10756,12902
Acer morifolium,11.9917,5,14.3886,26.0667,6.58333,2241.0,362.833,True,,,17,4
Acer oblongum,11.9917,9,15.8577,29.52,7.55075,1442.88,118.5,True,,,471,225
Acer oliverianum,11.9917,9,14.9029,29.075,5.54625,1159.62,101.5,True,,,237,180
Acer opalus,11.9917,9,10.2694,24.559,3.52283,874.25,171.75,True,,,9556,16663
Acer palmatum,11.9917,11,12.6186,28.2207,3.3345,1206.62,162.625,True,,,3474,1368
Acer pauciflorum,11.9917,9,15.3655,31.2975,5.589,1307.38,152.0,True,,,31,1
Acer pectinatum,11.9917,11,10.4617,21.554,3.449,898.5,103.5,True,22,,187,
Acer pensylvanicum,11.9917,6,7.85493,25.971,-3.17463,1061.25,203.75,True,,,5537,1785
Acer pentaphyllum,11.9917,11,10.6385,23.2167,3.44167,814.5,58.3333,True,,,22,21
Acer pictum,11.9917,11,11.175,27.0227,1.82644,1007.83,129.167,True,,16,2998,
Acer pubinerve,11.9917,9,16.0347,30.45,5.84167,1317.0,159.0,True,14,,18,
Acer rubescens,11.9917,11,12.3557,20.8,7.11667,2326.67,248.333,True,,,20,24
Acer rubrum,11.9917,11,10.4939,28.1125,0.434369,1040.75,201.125,True,,,16491,5088
Acer rufinerve,11.9917,11,10.4682,24.9151,1.97529,1496.25,186.75,True,,,1311,746
Acer saccharum,11.9917,9,8.37007,27.597,-2.65792,992.0,186.0,True,,,8370,3537
Acer sempervirens,11.9917,9,13.75,26.65,6.69445,693.0,67.5,True,,,93,62
Acer serrulatum,11.9917,9,15.7344,24.777,9.11465,1795.25,205.5,True,14,,336,
Acer shirasawanum,11.9917,11,10.0137,24.976,0.769223,1439.17,162.5,True,,,527,432
Acer sieboldianum,11.9917,11,11.6611,26.3235,3.32941,1215.75,169.125,True,,,1083,725
Acer sikkimense,11.9917,9,16.2521,27.0167,8.19443,1286.0,108.5,True,,,41,53
Acer sinense,11.9917,9,15.9097,30.05,6.225,1266.0,113.0,True,20,,65,
Acer spicatum,11.9917,6,6.79011,24.6166,-4.15086,1053.62,184.25,True,,,3433,1381
Acer stachyophyllum,11.9917,11,11.1615,22.4,3.00555,940.667,88.0,True,,,95,204
