AccNoFull,ItemAccNoFull,LocationName,LocationCoordY,LocationCoordX,LifeForm,Family,Genus,GenusSpecies,ItemLocationCode,ProvenanceCode,ItemType,IUCNRedList,NationalRedList,RegionalRedList,Locality,LocalityFull,climate_rating_emissions_limited_2050,climate_rating_current_sheet,climate_rating_business_as_usual_2090,climate_rating_bau_plus_1degree_2090
1999-0404,1999-0404.01,Contemporary Garden,-123.246025,49.253365,Shrub,Oleaceae,Abeliophyllum,Abeliophyllum distichum,1C01,G,Planting,,,,,,9,11,3,3
2014-0168,2014-0168.01,Asian Garden,-123.2511504,49.25364154,Shrub,Oleaceae,Abeliophyllum,Abeliophyllum distichum,3AAF,G,Planting,,,,,,9,11,3,3
1983-0427,1983-0427.01,Alpine Garden,-123.246104,49.25365,Shrub,Pinaceae,Abies,Abies koreana,LAS4,G,Planting,,,,,,6,9,5,5
1987-0067,1987-0067.01,Alpine Garden,-123.246737,49.254134,Shrub,Pinaceae,Abies,Abies balsamea,LNA3,G,Planting,,,,,,6,9,3,3
1987-0067,1987-0067.02,Alpine Garden,-123.246714,49.254241,Shrub,Pinaceae,Abies,Abies balsamea,LNA1,G,Planting,,,,,,6,9,3,3
1987-0067,1987-0067.03,Alpine Garden,-123.246737,49.254134,Shrub,Pinaceae,Abies,Abies balsamea,LNA3,G,Planting,,,,,,6,9,3,3
2001-0235,2001-0235.01,Alpine Garden,-123.246646,49.254052,Shrub,Pinaceae,Abies,Abies lasiocarpa,LNA4,G,Planting,,,,,,6,9,3,3
2012-0135,2012-0135.01,Alpine Garden,-123.246765,49.25398,Shrub,Pinaceae,Abies,Abies concolor,LNA5,G,Planting,,,,,,8,11,6,5
2022-0602,2022-0602.01,Alpine Garden,-123.245873,49.253589,Shrub,Pinaceae,Abies,Abies balsamea,LTC1,U,Planting,,,,,,6,9,3,3
2016-0419,2016-0419.01,Asian Garden,-123.2496979,49.25370219,Tree,Pinaceae,Abies,Abies grandis,3AA2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.02,Asian Garden,-123.2502942,49.25360128,Tree,Pinaceae,Abies,Abies grandis,3AAC,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.03,Asian Garden,-123.2511504,49.25364154,Tree,Pinaceae,Abies,Abies grandis,3AAF,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.04,Asian Garden,-123.250798,49.253039,Tree,Pinaceae,Abies,Abies grandis,3AAK,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.05,Asian Garden,-123.250798,49.253039,Tree,Pinaceae,Abies,Abies grandis,3AAK,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.06,Asian Garden,-123.250798,49.253039,Tree,Pinaceae,Abies,Abies grandis,3AAK,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.07,Asian Garden,-123.24941,49.25304096,Tree,Pinaceae,Abies,Abies grandis,3AB5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.08,Asian Garden,-123.24941,49.25304096,Tree,Pinaceae,Abies,Abies grandis,3AB5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.09,Asian Garden,-123.250395,49.25316463,Tree,Pinaceae,Abies,Abies grandis,3AB6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.10,Asian Garden,-123.2500403,49.25290045,Tree,Pinaceae,Abies,Abies grandis,3AB7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.100,Asian Garden,-123.2482302,49.25242023,Tree,Pinaceae,Abies,Abies grandis,3AD1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.101,Asian Garden,-123.2482302,49.25242023,Tree,Pinaceae,Abies,Abies grandis,3AD1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.102,Asian Garden,-123.2482302,49.25242023,Tree,Pinaceae,Abies,Abies grandis,3AD1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.103,Asian Garden,-123.2467996,49.25134628,Tree,Pinaceae,Abies,Abies grandis,3AG1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.104,Asian Garden,-123.247018,49.25078685,Tree,Pinaceae,Abies,Abies grandis,3AG5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.105,Asian Garden,-123.247018,49.25078685,Tree,Pinaceae,Abies,Abies grandis,3AG5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.106,Asian Garden,-123.247018,49.25078685,Tree,Pinaceae,Abies,Abies grandis,3AG5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.107,Asian Garden,-123.247018,49.25078685,Tree,Pinaceae,Abies,Abies grandis,3AG5,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.108,Asian Garden,-123.246415,49.250271,Tree,Pinaceae,Abies,Abies grandis,3AG8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.109,Asian Garden,-123.246415,49.250271,Tree,Pinaceae,Abies,Abies grandis,3AG8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.11,Asian Garden,-123.250583,49.253088,Tree,Pinaceae,Abies,Abies grandis,3AB8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.110,Asian Garden,-123.246415,49.250271,Tree,Pinaceae,Abies,Abies grandis,3AG8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.111,Asian Garden,-123.246415,49.250271,Tree,Pinaceae,Abies,Abies grandis,3AG8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.112,Asian Garden,-123.246415,49.250271,Tree,Pinaceae,Abies,Abies grandis,3AG8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.113,Asian Garden,-123.24649,49.251194,Tree,Pinaceae,Abies,Abies grandis,3AGA,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.114,Asian Garden,-123.24649,49.251194,Tree,Pinaceae,Abies,Abies grandis,3AGA,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.115,Asian Garden,-123.2465302,49.2506617,Tree,Pinaceae,Abies,Abies grandis,3AJ3,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.116,Asian Garden,-123.24489,49.250363,Tree,Pinaceae,Abies,Abies grandis,3AM1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.117,Asian Garden,-123.2434073,49.24950764,Tree,Pinaceae,Abies,Abies grandis,3AP2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.118,Asian Garden,-123.2431913,49.24934955,Tree,Pinaceae,Abies,Abies grandis,3AQ1,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.12,Asian Garden,-123.250583,49.253088,Tree,Pinaceae,Abies,Abies grandis,3AB8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.13,Asian Garden,-123.250583,49.253088,Tree,Pinaceae,Abies,Abies grandis,3AB8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.14,Asian Garden,-123.250583,49.253088,Tree,Pinaceae,Abies,Abies grandis,3AB8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.15,Asian Garden,-123.250583,49.253088,Tree,Pinaceae,Abies,Abies grandis,3AB8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.16,Asian Garden,-123.2485506,49.25273738,Tree,Pinaceae,Abies,Abies grandis,3ABC,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.17,Asian Garden,-123.2485506,49.25273738,Tree,Pinaceae,Abies,Abies grandis,3ABC,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.18,Asian Garden,-123.2497293,49.25284675,Tree,Pinaceae,Abies,Abies grandis,3AC2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.19,Asian Garden,-123.2497293,49.25284675,Tree,Pinaceae,Abies,Abies grandis,3AC2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.20,Asian Garden,-123.2496112,49.25262248,Tree,Pinaceae,Abies,Abies grandis,3AC6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.21,Asian Garden,-123.2496112,49.25262248,Tree,Pinaceae,Abies,Abies grandis,3AC6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.22,Asian Garden,-123.2496112,49.25262248,Tree,Pinaceae,Abies,Abies grandis,3AC6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.23,Asian Garden,-123.2496112,49.25262248,Tree,Pinaceae,Abies,Abies grandis,3AC6,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.24,Asian Garden,-123.2490396,49.25271605,Tree,Pinaceae,Abies,Abies grandis,3AC7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.25,Asian Garden,-123.2490396,49.25271605,Tree,Pinaceae,Abies,Abies grandis,3AC7,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.26,Asian Garden,-123.2487159,49.25255704,Tree,Pinaceae,Abies,Abies grandis,3AC8,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.27,Asian Garden,-123.249706,49.252309,Tree,Pinaceae,Abies,Abies grandis,3AC9,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.28,Asian Garden,-123.2492523,49.25244587,Tree,Pinaceae,Abies,Abies grandis,3AD2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.29,Asian Garden,-123.2492523,49.25244587,Tree,Pinaceae,Abies,Abies grandis,3AD2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
2016-0419,2016-0419.30,Asian Garden,-123.2492523,49.25244587,Tree,Pinaceae,Abies,Abies grandis,3AD2,W,Flora (On-Site Origin),Least concern,,Yellow-listed British Columbia,,,11,11,5,5
