family,genus,n_accepted_species_in_genus,n_genera_in_family,n_accepted_species_in_family
Acanthaceae,Acanthopale,12,205,5538
Acanthaceae,Acanthopsis,20,205,5538
Acanthaceae,Acanthus,30,205,5538
Acanthaceae,Afrofittonia,1,205,5538
Acanthaceae,Ambongia,1,205,5538
Acanthaceae,Ancistranthus,1,205,5538
Acanthaceae,Andrographis,25,205,5538
Acanthaceae,Angkalanthus,1,205,5538
Acanthaceae,Anisacanthus,11,205,5538
Acanthaceae,Anisosepalum,3,205,5538
Acanthaceae,Anisostachya,61,205,5538
Acanthaceae,Anisotes,29,205,5538
Acanthaceae,Anomacanthus,1,205,5538
Acanthaceae,Aphanosperma,1,205,5538
Acanthaceae,Aphelandra,207,205,5538
Acanthaceae,Ascotheca,1,205,5538
Acanthaceae,Asystasia,59,205,5538
Acanthaceae,Avicennia,8,205,5538
Acanthaceae,Aymoreana,1,205,5538
Acanthaceae,Ballochia,3,205,5538
Acanthaceae,Barleria,304,205,5538
Acanthaceae,Barleriola,4,205,5538
Acanthaceae,Blepharis,128,205,5538
Acanthaceae,Borneacanthus,6,205,5538
Acanthaceae,Boutonia,1,205,5538
Acanthaceae,Brachystephanus,21,205,5538
Acanthaceae,Bravaisia,3,205,5538
Acanthaceae,Brillantaisia,14,205,5538
Acanthaceae,Brunoniella,6,205,5538
Acanthaceae,Calacanthus,1,205,5538
Acanthaceae,Calycacanthus,1,205,5538
Acanthaceae,Camarotea,1,205,5538
Acanthaceae,Carlowrightia,27,205,5538
Acanthaceae,Celerina,1,205,5538
Acanthaceae,Cephalacanthus,1,205,5538
Acanthaceae,Cephalophis,1,205,5538
Acanthaceae,Chalarothyrsus,1,205,5538
Acanthaceae,Chamaeranthemum,4,205,5538
Acanthaceae,Champluviera,2,205,5538
Acanthaceae,Chileranthemum,3,205,5538
Acanthaceae,Chlamydacanthus,2,205,5538
Acanthaceae,Chlamydocardia,2,205,5538
Acanthaceae,Chorisochora,4,205,5538
Acanthaceae,Chroesthes,4,205,5538
Acanthaceae,Clinacanthus,4,205,5538
Acanthaceae,Clistax,3,205,5538
Acanthaceae,Codonacanthus,3,205,5538
Acanthaceae,Conocalyx,1,205,5538
Acanthaceae,Cosmianthemum,14,205,5538
Acanthaceae,Crabbea,13,205,5538
Acanthaceae,Crossandra,54,205,5538
Acanthaceae,Crossandrella,3,205,5538
Acanthaceae,Cryptacanthus,6,205,5538
Acanthaceae,Cuenotia,1,205,5538
Acanthaceae,Cyclacanthus,2,205,5538
Acanthaceae,Cynarospermum,1,205,5538
Acanthaceae,Cyphacanthus,1,205,5538
Acanthaceae,Dasytropis,1,205,5538
Acanthaceae,Dianthera,40,205,5538
Acanthaceae,Diceratotheca,1,205,5538
Acanthaceae,Dichazothece,1,205,5538
Acanthaceae,Dicladanthera,2,205,5538
Acanthaceae,Dicliptera,233,205,5538
Acanthaceae,Dinteracanthus,5,205,5538
Acanthaceae,Dischistocalyx,12,205,5538
Acanthaceae,Dolichostachys,1,205,5538
Acanthaceae,Duosperma,26,205,5538
Acanthaceae,Dyschoriste,98,205,5538
Acanthaceae,Ecbolium,22,205,5538
Acanthaceae,Echinacanthus,4,205,5538
Acanthaceae,Elytraria,23,205,5538
Acanthaceae,Eranthemum,24,205,5538
Acanthaceae,Eremomastax,1,205,5538
Acanthaceae,Filetia,9,205,5538
Acanthaceae,Fittonia,2,205,5538
Acanthaceae,Forcipella,6,205,5538
Acanthaceae,Glossochilus,1,205,5538
Acanthaceae,Graphandra,1,205,5538
Acanthaceae,Graptophyllum,16,205,5538
Acanthaceae,Gymnophragma,1,205,5538
Acanthaceae,Gymnostachyum,51,205,5538
Acanthaceae,Gypsacanthus,1,205,5538
Acanthaceae,Haplanthodes,4,205,5538
Acanthaceae,Haplanthus,4,205,5538
Acanthaceae,Harpochilus,3,205,5538
Acanthaceae,Hemigraphis,35,205,5538
Acanthaceae,Henrya,3,205,5538
Acanthaceae,Herpetacanthus,21,205,5538
Acanthaceae,Heteradelphia,2,205,5538
Acanthaceae,Holographis,18,205,5538
Acanthaceae,Hoverdenia,1,205,5538
Acanthaceae,Hulemacanthus,2,205,5538
Acanthaceae,Hygrophila,79,205,5538
Acanthaceae,Hypoestes,141,205,5538
Acanthaceae,Ichthyostoma,1,205,5538
Acanthaceae,Isoglossa,81,205,5538
Acanthaceae,Isotheca,1,205,5538
Acanthaceae,Jadunia,2,205,5538
Acanthaceae,Justicia,944,205,5538
Acanthaceae,Kenyacanthus,1,205,5538
Acanthaceae,Kosmosiphon,1,205,5538
Acanthaceae,Kudoacanthus,1,205,5538
Acanthaceae,Lankesteria,7,205,5538
Acanthaceae,Lasiocladus,4,205,5538
